Code,spell_group,start,stop,event,AGEDEP,GE,IND,TO,Year
AGO,LM,0,1,0,92.30377474,-1.3754275,4.679179848,90.38603847,2004
AGO,LM,1,2,0,92.07169966,-1.3754275,3.895781992,95.34145929,2005
AGO,LM,2,3,0,91.89664781,-1.3754275,3.661849599,84.62460412,2006
AGO,LM,3,4,0,91.7757132,-1.3754275,3.442696492,97.2256307,2007
AGO,LM,4,5,0,91.74374437,-1.3238188,3.532351396,108.6804087,2008
AGO,LM,5,6,0,91.78354687,-1.0974384,4.975453095,102.2631833,2009
AGO,LM,6,7,1,91.82838662,-0.9515013,4.487228855,90.99406314,2010
AGO,UM,0,1,0,91.85690272,-1.0097747,4.178085058,89.03694434,2011
AGO,UM,1,2,0,91.899377,-1.0191994,4.361918025,81.93947855,2012
AGO,UM,2,3,0,91.94970355,-1.0286328,4.779643734,77.34980137,2013
AGO,UM,3,4,0,92.05056189,-0.9400114,4.726180924,69.58014245,2014
AGO,UM,4,5,0,92.1805019,-0.9378237,5.240515596,54.97938088,2015
AGO,LM,0,1,0,92.18800411,-0.9493847,5.782788995,47.01556614,2016
AGO,LM,1,2,0,92.07155429,-0.9681157,5.728969445,45.66434235,2017
AGO,LM,2,3,0,91.90276941,-0.9784602,5.340746295,58.91648008,2018
AGO,LM,3,4,0,91.64703963,-0.9116965,5.411448772,60.71482433,2019
AGO,LM,4,5,0,91.3698275,-1.0163604,6.097457182,54.34422868,2020
AGO,LM,5,6,0,91.03639831,-0.9347008,6.19373756,61.52621367,2021
AGO,LM,6,7,0,90.58951186,-0.8325718,6.716478137,55.25477327,2022
AGO,LM,7,8,0,90.05522528,-0.8287026,7.400666244,53.03348363,2023
AGO,LM,8,9,0,89.40608064,-0.7851909,6.576162598,50.84223056,2024
AGO,LM,9,10,0,89.40608064,-0.7851909,6.79262097,50.84223056,2025
AGO,LM,10,11,0,89.40608064,-0.7851909,6.79262097,50.84223056,2026
ALB,LM,0,1,0,58.59772903,-1.1093724,4.711459153,61.60926104,2000
ALB,LM,1,2,0,57.8351706,-0.8832389,4.339241272,64.24744626,2001
ALB,LM,2,3,0,56.73670221,-0.6571054,4.307757976,65.99146503,2002
ALB,LM,3,4,0,55.61399781,-0.6637265,4.343207119,64.8232151,2003
ALB,LM,4,5,0,54.52112291,-0.4499559,4.474331529,65.03793832,2004
ALB,LM,5,6,0,53.44354077,-0.6979427,4.794124735,69.11629266,2005
ALB,LM,6,7,0,52.41323532,-0.6153929,5.309709539,72.20190895,2006
ALB,LM,7,8,0,51.4388392,-0.5171955,5.731781571,79.91190089,2007
ALB,LM,8,9,1,50.47596292,-0.4824716,5.422752704,75.24854728,2008
ALB,UM,0,1,0,49.46272901,-0.2900014,5.656708948,73.32135756,2009
ALB,UM,1,2,0,48.40341392,-0.2964483,5.960640217,75.53253297,2010
ALB,LM,0,1,1,47.39391652,-0.2490677,6.192222426,80.69899853,2011
ALB,UM,0,1,0,46.63056142,-0.3393566,5.37937813,76.96835832,2012
ALB,UM,1,2,0,46.22948913,-0.3564184,5.747654228,75.75061856,2013
ALB,UM,2,3,0,46.09907972,0.0801175,5.907101717,75.02120231,2014
ALB,UM,3,4,0,46.0636825,0.1835585,6.27591543,71.27944766,2015
ALB,UM,4,5,0,46.04186419,0.1974461,6.303405541,74.01445045,2016
ALB,UM,5,6,0,46.17477818,0.256049,6.516401133,76.78738179,2017
ALB,UM,6,7,0,46.50893245,0.2684643,6.708115065,75.69407837,2018
ALB,UM,7,8,0,47.04237531,0.0266494,6.967485863,75.38212893,2019
ALB,UM,8,9,0,47.68647127,0.0187103,7.069412463,59.52069944,2020
ALB,UM,9,10,0,48.44160172,0.1116368,6.918296958,75.59040409,2021
ALB,UM,10,11,0,49.25104634,0.1929668,7.504616345,84.69804359,2022
ALB,UM,11,12,0,50.02392582,0.293429,7.203061146,82.3524934,2023
ALB,UM,12,13,0,50.97429383,0.3123437,6.505973638,79.45463608,2024
ALB,UM,13,14,0,50.97429383,0.3123437,6.034119771,79.45463608,2025
ALB,UM,14,15,0,50.97429383,0.3123437,6.034119771,79.45463608,2026
ARG,UM,0,1,0,60.8399424,0.0107824,16.49427194,36.39587023,2000
ARG,UM,1,2,0,60.44208877,-0.10723675,16.09322588,36.39587023,2001
